Company_Name,Skills,More_Info
Peopleplease Consulting,"Python, Python, Scripting",https://www.timesjobs.com/job-detail/python-developer-python-python-full-stack-client-of-peopleplease-mumbai-1-to-5-yrs-jobid-y1n0aQVsGtFzpSvf__PLUS__uAgZw==&source=srp
SEVEN CONSULTANCY,"rest, python, storage",https://www.timesjobs.com/job-detail/python-developer-seven-consultancy-navi-mumbai-mumbai-thane-1-to-3-yrs-jobid-deP__SLASH__U9VqSS9zpSvf__PLUS__uAgZw==&source=srp
east india securities ltd.,"python, hadoop, machine, learning",https://www.timesjobs.com/job-detail/python-engineer-east-india-securities-ltd-kolkata-2-to-5-yrs-jobid-AoNKFWTxLYxzpSvf__PLUS__uAgZw==&source=srp
SEVEN CONSULTANCY,"python, mvc, sql",https://www.timesjobs.com/job-detail/python-developer-seven-consultancy-navi-mumbai-mumbai-4-to-7-yrs-jobid-VJ3GBkmUwLVzpSvf__PLUS__uAgZw==&source=srp
CONNECTING 2 WORK,"rest, python, django, mongodb",https://www.timesjobs.com/job-detail/python-trainer-connecting-2-work-calicut-kozhikode-0-to-3-yrs-jobid-Z__PLUS__uCQzJQBSxzpSvf__PLUS__uAgZw==&source=srp
INFINITY GROUP,"python, css, django, html, bootstrap",https://www.timesjobs.com/job-detail/python-developer-infinity-group-noida-greater-noida-2-to-5-yrs-jobid-WKzksjq__PLUS__GXxzpSvf__PLUS__uAgZw==&source=srp
DREAMAJAX TECHNOLOGIES,"python, django, api, sql, nosql",https://www.timesjobs.com/job-detail/python-developer-dreamajax-technologies-bengaluru-bangalore-4-to-7-yrs-jobid-QP62Nb779jFzpSvf__PLUS__uAgZw==&source=srp
Datagrid Solutions,"python, database, django, mysql, api",https://www.timesjobs.com/job-detail/python-developer-datagrid-solutions-mumbai-2-to-3-yrs-jobid-WOb3ZI4H4nVzpSvf__PLUS__uAgZw==&source=srp
SEVEN CONSULTANCY,"rest, python, web, developer, storage, software, developer",https://www.timesjobs.com/job-detail/python-developer-seven-consultancy-hyderabad-secunderabad-0-to-3-yrs-jobid-ATqt92bFMIxzpSvf__PLUS__uAgZw==&source=srp
SEVEN CONSULTANCY,"rest, python, oracle, sybase, bi, storage, javascript, nosql, sql, python, scripting, java, xml, linux, mysql, unix",https://www.timesjobs.com/job-detail/python-developer-seven-consultancy-chennai-1-to-4-yrs-jobid-3SbYNIu88OBzpSvf__PLUS__uAgZw==&source=srp
InnOvator Web Solutions Pvt.Ltd.,"rest, python, django, web, developer, mysql, api",https://www.timesjobs.com/job-detail/python-developer-innovator-web-solutions-pvt-ltd-mumbai-5-to-8-yrs-jobid-xW9AZzv9Ek5zpSvf__PLUS__uAgZw==&source=srp
CONNECTING 2 WORK,"python, storage, django, testing, tools, debugging",https://www.timesjobs.com/job-detail/python-developer-connecting-2-work-thiruvananthapuram-5-to-10-yrs-jobid-rWXOEDNUju5zpSvf__PLUS__uAgZw==&source=srp
